season,week,team,opponent_team,player,position,proj_receiving_yards,proj_carries,proj_rushing_yards,proj_passing_yards,offense_snaps_last,snap_pct_last,proj_receiving_yards_adj,proj_rushing_yards_adj,proj_passing_yards_adj,proj_total_yards_adj,stable_role,rec_resid_p25,rec_resid_p75,rush_resid_p25,rush_resid_p75,pass_resid_p25,pass_resid_p75,proj_total_yards_p25,proj_total_yards_p75,risk_adj_total_yards
2025,17,DET,MIN,Jared Goff,QB,4.4917976372800865,1.308640492396643,1.2684400073978257,241.60877329473138,74,1,4.042617873552078,1.2531537374868231,217.44789596525825,222.74366757629716,TRUE,-8.649794667208807,-5.4846806771142305,-6.434024895934231,6.3231530762616055,-124.61680491996447,41.22625809051664,83.04304309318965,264.80839806596117,83.04304309318965
2025,17,DET,MIN,Jahmyr Gibbs,RB,45.5064072883795,14.816589179893148,80.56731210383737,0,64,0.8648648648648649,40.95576655954155,79.59637640988225,0,120.55214296942381,TRUE,-14.901409944084525,-3.937796637978517,-14.570864325097673,9.532634265787461,NA,NA,91.07986870024162,126.14698059723275,91.07986870024162
2025,17,DET,MIN,Amon-Ra St. Brown,WR,64.31199128717807,0.4362503480266384,0.3570989442349982,0,72,0.972972972972973,57.88079215846027,0.35279546057422295,0,58.23358761903449,TRUE,-21.302826016526705,7.457222107298614,-0.8589855853800651,-0.42726071477709654,NA,NA,36.07177601712772,65.26354901155601,36.07177601712772
2025,17,DET,MIN,Jameson Williams,WR,60.12922800415149,1.0395413851377338,0.9675998204887818,0,70,0.9459459459459459,54.116305203736346,0.9559390466756218,0,55.07224425041197,TRUE,-21.302826016526705,7.457222107298614,-0.8589855853800651,-0.42726071477709654,NA,NA,32.91043264850519,62.102205642933484,32.91043264850519
2025,17,DET,MIN,David Montgomery,RB,13.27041103992933,7.046529236188412,27.089114247998022,0,13,0.17567567567567569,11.943369935936397,26.762656938523545,0,38.706026874459944,FALSE,-14.901409944084525,-3.937796637978517,-14.570864325097673,9.532634265787461,NA,NA,9.233752605277743,44.300864502268894,9.233752605277743
2025,17,DET,MIN,Isaac TeSlaa,WR,16.430009170967814,0.4362503480266384,0.3570989442349982,0,41,0.5540540540540541,14.787008253871033,0.35279546057422295,0,15.139803714445256,FALSE,-21.302826016526705,7.457222107298614,-0.8589855853800651,-0.42726071477709654,NA,NA,0,22.169765106966775,0
2025,17,DET,MIN,Tom Kennedy,WR,13.625292201608453,0.4362503480266384,0.3570989442349982,0,1,0.013513513513513514,12.262762981447608,0.35279546057422295,0,12.61555844202183,FALSE,-21.302826016526705,7.457222107298614,-0.8589855853800651,-0.42726071477709654,NA,NA,0,19.64551983454335,0
2025,17,DET,MIN,Kalif Raymond,WR,12.330334394054951,0.5193339113994643,0.4417435608475593,0,19,0.25675675675675674,11.097300954649457,0.4364200049338539,0,11.533720959583311,FALSE,-21.302826016526705,7.457222107298614,-0.8589855853800651,-0.42726071477709654,NA,NA,0,18.56368235210483,0
2025,17,DET,MIN,Anthony Firkser,TE,8.262287702936536,0.4362503480266384,0.3570989442349982,0,26,0.35135135135135137,7.436058932642883,0.35279546057422295,0,7.788854393217106,FALSE,-16.917969954391634,2.931814232935144,-0.7184215150099965,-0.42726071477709654,NA,NA,0,10.293407911375153,0
2025,17,DET,MIN,Jacob Saylors,RB,4.4917976372800865,0.4362503480266384,0.3570989442349982,0,0,0,4.042617873552078,0.35279546057422295,0,4.3954133341263,FALSE,-14.901409944084525,-3.937796637978517,-14.570864325097673,9.532634265787461,NA,NA,0,9.990250961935244,0
2025,17,DET,MIN,Shane Zylstra,TE,4.4917976372800865,0.4362503480266384,0.3570989442349982,0,49,0.6621621621621622,4.042617873552078,0.35279546057422295,0,4.3954133341263,TRUE,-16.917969954391634,2.931814232935144,-0.7184215150099965,-0.42726071477709654,NA,NA,0,6.899966852284348,0
