position,rec_resid_p25,rec_resid_p75,rush_resid_p25,rush_resid_p75,pass_resid_p25,pass_resid_p75
FB,-8.655186628919655,-5.242185149014045,-0.8097933117725489,-0.432895450607806,NA,NA
QB,-8.649794667208807,-5.4846806771142305,-6.434024895934231,6.3231530762616055,-124.61680491996447,41.22625809051664
RB,-14.901409944084525,-3.937796637978517,-14.570864325097673,9.532634265787461,NA,NA
TE,-16.917969954391634,2.931814232935144,-0.7184215150099965,-0.42726071477709654,NA,NA
WR,-21.302826016526705,7.457222107298614,-0.8589855853800651,-0.42726071477709654,NA,NA
