season,week,team,opponent_team,player,position,pred_rec_yards,pred_carries,pred_rush_yards,offense_snaps_last,snap_pct_last,rec_yards_adj,rush_yards_adj,total_yards_adj,bet_flag_volume,bet_flag_snaps,bet_flag
2025,16,SF,IND,Christian McCaffrey,RB,44.91677137383125,16.270183788329895,85.33476730511468,62,0.8378378378378378,40.42509423644813,93.86824403562616,134.2933382720743,TRUE,TRUE,TRUE
2025,16,SF,IND,George Kittle,TE,50.94250430586787,0.5222227509773099,0.44139943051431396,71,0.9594594594594594,45.84825387528109,0.4855393735657454,46.33379324884683,TRUE,TRUE,TRUE
2025,16,SF,IND,Jauan Jennings,WR,48.606894208117666,0.44520365413058016,0.3627775155876378,60,0.8108108108108109,43.7462047873059,0.39905526714640166,44.1452600544523,TRUE,TRUE,TRUE
2025,16,SF,IND,Brian Robinson,RB,10.3288618497763,6.80955682034577,26.322722796466778,NA,NA,9.295975664798672,28.95499507611346,38.25097074091213,TRUE,TRUE,TRUE
2025,16,SF,IND,Ricky Pearsall,WR,29.78213075382041,0.6468848994636875,0.5469638156686426,43,0.581081081081081,26.80391767843837,0.6016601972355069,27.405577875673877,TRUE,TRUE,TRUE
2025,16,SF,IND,Kendrick Bourne,WR,18.345894068559016,0.44520365413058016,0.3627775155876378,33,0.44594594594594594,16.511304661703115,0.39905526714640166,16.910359928849516,FALSE,TRUE,FALSE
2025,16,SF,IND,Demarcus Robinson,WR,15.220226522432435,0.6610321072596689,0.5601088997532911,23,0.3108108108108108,13.698203870189191,0.6161197897286204,14.314323659917811,FALSE,TRUE,FALSE
2025,16,SF,IND,Kyle Juszczyk,FB,15.239750870491923,0.44520365413058016,0.3627775155876378,46,0.6216216216216216,13.71577578344273,0.39905526714640166,14.114831050589132,FALSE,TRUE,FALSE
2025,16,SF,IND,Brock Purdy,QB,4.684061723732082,2.930476938585488,5.352569362772731,74,1,4.215655551358874,5.887826299050005,10.10348185040888,FALSE,TRUE,FALSE
2025,16,SF,IND,Skyy Moore,WR,6.141440021423971,0.44520365413058016,0.3627775155876378,0,0,5.527296019281574,0.39905526714640166,5.926351286427976,FALSE,FALSE,FALSE
