season,week,team,opponent_team,player,position,pred_rec_yards,pred_carries,pred_rush_yards,pred_rec_yards_p25,pred_rec_yards_p75,pred_rush_yards_p25,pred_rush_yards_p75,offense_snaps_last,snap_pct_last,stable_role
2025,16,SF,IND,Christian McCaffrey,RB,44.91677137383125,16.270183788329895,85.33476730511468,31.168270330786534,41.858475347296086,75.68890729577122,96.93918806559861,62,0.8378378378378378,TRUE
2025,16,SF,IND,George Kittle,TE,50.94250430586787,0.5222227509773099,0.44139943051431396,35.533857762042246,61.389313221123544,0,0.012282875729477116,71,0.9594594594594594,TRUE
2025,16,SF,IND,Jauan Jennings,WR,48.606894208117666,0.44520365413058016,0.3627775155876378,33.19824766429204,59.05370312337334,0,0,60,0.8108108108108109,TRUE
2025,16,SF,IND,Brian Robinson,RB,10.3288618497763,6.80955682034577,26.322722796466778,0,7.270565823241132,16.676862787123312,37.92714355695071,NA,NA,FALSE
2025,16,SF,IND,Ricky Pearsall,WR,29.78213075382041,0.6468848994636875,0.5469638156686426,14.373484209994782,40.228939669076084,0,0.11784726088380576,43,0.581081081081081,FALSE
2025,16,SF,IND,Kendrick Bourne,WR,18.345894068559016,0.44520365413058016,0.3627775155876378,2.9372475247333867,28.792702983814685,0,0,33,0.44594594594594594,FALSE
2025,16,SF,IND,Demarcus Robinson,WR,15.220226522432435,0.6610321072596689,0.5601088997532911,0,25.667035437688106,0,0.1309923449684543,23,0.3108108108108108,FALSE
2025,16,SF,IND,Kyle Juszczyk,FB,15.239750870491923,0.44520365413058016,0.3627775155876378,1.491249827447204,12.181454843956754,0,11.967198276071574,46,0.6216216216216216,FALSE
2025,16,SF,IND,Brock Purdy,QB,4.684061723732082,2.930476938585488,5.352569362772731,0,0,0.9097454350491612,16.181284661923282,74,1,TRUE
2025,16,SF,IND,Skyy Moore,WR,6.141440021423971,0.44520365413058016,0.3627775155876378,0,16.58824893667964,0,0,0,0,FALSE
